no,player1,player2,place,year,class,strategy,move,result,piece,part,FEN,PGN
427,SCHIMID,HOCHENBERGER,BRD,1965,I,g,1.?,1-0,B,C,1qr2rk1/1p1b1ppp/pBnbp3/P5P1/1n2BP1P/1NN2Q2/1PP5/1K1R2R1 w - - 0 1,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[SetUp ""1""]
[FEN ""1qr2rk1/1p1b1ppp/pBnbp3/P5P1/1n2BP1P/1NN2Q2/1PP5/1K1R2R1 w - - 0 1""]

1. Bxh7+ Kxh7 2. Ne4 +- (2. Ne4 Be7 3. Nf6+ gxf6 4. Qh5+ Kg8 5. gxf6#) (2. Ne4
Nd5 3. Rxd5!) (2. Qh5+ Kg8 3. Ne4 Rfd8 4. g6!!) *"
428,LUKIN,T.CIORGADZE,SSSR,1967,I,d,1.?,1-0,B,C,1k1qbb1r/1p3p1p/p3pP1p/3pN3/3P4/2RB2P1/PP3P1P/2Q3K1 w - - 0 1,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[SetUp ""1""]
[FEN ""1k1qbb1r/1p3p1p/p3pP1p/3pN3/3P4/2RB2P1/PP3P1P/2Q3K1 w - - 0 1""]

1. Bxa6! bxa6 2. Rb3+ Ka8 (2... Ka7 3. Nc6+ +-) 3. Nxf7! Bxf7 (3... Qd7 4. Nxh8
+-) 4. Qc6+ +- *"
429,SAVOSIN,KUZNECOV,SSSR,1975,I,h,1.?,1-0,B,C,r1b1r1k1/1p1n1p2/p1nBp1p1/q2pP1Np/P7/R2B3Q/2P2PPP/5RK1 w - - 0 1,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""1-0""]
[SetUp ""1""]
[FEN ""r1b1r1k1/1p1n1p2/p1nBp1p1/q2pP1Np/P7/R2B3Q/2P2PPP/5RK1 w - - 0 1""]

1. Nxf7! Kxf7 2. Bxg6+! Kxg6 3. Qg3+ Kh7 (3... Kh6 4. Qf4+ +-) 4. Qg5! Ndxe5 5.
Qxh5+ Kg7 6. Rg3+ Kf6 7. Qg5+ Kf7 8. Qg7# 1-0"
430,TRINGOV,HURME,Malta(ol),1980,I,g,1...?,0-1,B,C,4r1rk/pb2pqbp/1p1p4/5p2/2P2n2/1N2BP2/PPQ3PP/1B1RR2K b - - 0 1,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[SetUp ""1""]
[FEN ""4r1rk/pb2pqbp/1p1p4/5p2/2P2n2/1N2BP2/PPQ3PP/1B1RR2K b - - 0 1""]

1... Nxg2! 2. Qxg2 (2. Kxg2 Qh5 3. Nd2 (3. Qxf5 Bxf3+ 4. Qxf3 Bf6+ -+) 3... Bc3+
-+) 2... Qh5 3. Rf1 Be5 4. Qe2 Bxh2! -+ *"
431,EDOCS,SEMKOV,CSSR,1980,I,d,1...?,0-1,B,C,1r4k1/5pp1/qr2p2p/N3Pn2/Q7/2P1b1B1/P5PP/K2R1R2 b - - 0 1,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[SetUp ""1""]
[FEN ""1r4k1/5pp1/qr2p2p/N3Pn2/Q7/2P1b1B1/P5PP/K2R1R2 b - - 0 1""]

1... Nd4!! 2. cxd4 (2. Rb1 Qxa5 +-) 2... Rb4 3. Qd7 Bxd4+ 4. Rxd4 Qxf1+ 5. Rd1
Rb1+! +- *"
441,LISICYN,RAGOZIN,SSSR(ch),1934,I,g,1.?,1-0,B,C,r2qr1k1/1pnb1pp1/p1n1p2p/8/P2P3P/B2B1NP1/6P1/R2Q1RK1 w - - 0 1,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[SetUp ""1""]
[FEN ""r2qr1k1/1pnb1pp1/p1n1p2p/8/P2P3P/B2B1NP1/6P1/R2Q1RK1 w - - 0 1""]

1. Bh7+! Kxh7 2. Ng5+! Kg8 3. Nxf7 Qb8 4. Nxh6+ gxh6 5. Qg4+ Kh8 6. Rf7! Rg8 7.
Qh5 *"
442,HOLMOV,PANOV,Vilnius,1953,I,d,1.?,1-0,B,C,3q2k1/r2b2pp/3Pp3/1p1nPp2/1RpN4/2P2Q1P/2B2PP1/6K1 w - - 0 0,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""1-0""]
[SetUp ""1""]
[FEN ""3q2k1/r2b2pp/3Pp3/1p1nPp2/1RpN4/2P2Q1P/2B2PP1/6K1 w - - 0 1""]

1. Nxf5 {this is wrong from engine. 1...g6! makes a draw} 1... Nxb4 2. Ne7+ Kh8
3. Bxh7 Qa5 4. Qf8+ Kxh7 5. Qg8+ Kh6 6. Qh8+ Kg5 7. Qxg7+ Kf4 8. Qg4+ Kxe5 9.
Qd4# 1-0"
443,VOSKANIAN,HODOS,SSSR,1964,I,h,1.?,1-0,B,C,r1b2rk1/1pqp1ppp/p1n1pn2/5N2/8/2PBB3/P1P2PPP/R2QR1K1 w - - 0 1,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[SetUp ""1""]
[FEN ""r1b2rk1/1pqp1ppp/p1n1pn2/5N2/8/2PBB3/P1P2PPP/R2QR1K1 w - - 0 1""]

1. Nxg7 Kxg7 2. Bh6+! Kxh6 (2... Kg8 3. Qf3! +-) 3. Qd2+ Kh5 (3... Kg7 4. Qg5+
Kh8 5. Qxf6+ Kg8 6. Re4! +-) 4. Re3 *"
444,RESHEVSKY,MATSUMOTO,Siegen(ol),1970,I,c,1.?,1-0,B,C,r2q1rk1/1p1bbppp/p1n1p3/2p1P2Q/4N3/6P1/PPPB1PBP/3RR1K1 w - - 0 1,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""1-0""]
[SetUp ""1""]
[FEN ""r2q1rk1/1p1bbppp/p1n1p3/2p1P2Q/4N3/6P1/PPPB1PBP/3RR1K1 w - - 0 1""]

1. Nf6+! gxf6 (1... Bxf6 2. exf6 g6 (2... Qxf6 3. Bg5 +-) 3. Qh6 Qxf6 4. Bg5 +-)
2. exf6 Bxf6 3. Be4 Re8 4. Qxh7+ Kf8 5. Bg6! Bg7 6. Bh6 Qf6 7. Rxd7 Ne7 8. Qh8+
Ng8 9. Qxg7+ Qxg7 10. Rxf7# 1-0"
445,SZALANCZY,GAVRIKOV,Debrecen,1988,I,c,1.?,1-0,B,C,r1bq1rk1/3nbppp/p2pp3/6PQ/1p1BP2P/2NB4/PPP2P2/2KR3R w - - 0 1,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[SetUp ""1""]
[FEN ""r1bq1rk1/3nbppp/p2pp3/6PQ/1p1BP2P/2NB4/PPP2P2/2KR3R w - - 0 1""]

1. Nd5 {wrong answer 1...Ne5} 1... exd5 2. Bxg7! (2. exd5 g6 3. Qh6 f6 4. Bxg6!
hxg6) 2... Qe8 (2... Kxg7 3. Qh6+) (2... f5 3. gxf6 +-) (2... f6 3. g6 +-) 3.
Bf6 +- *"
